Tue Nov 15 11:43:17 2022    output.dat

         348506 function calls (344947 primitive calls) in 2842.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2726.127 2726.127 2842.435 2842.435 {method 'mainloop' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfmetrics.py:367(_calcWidths)
       28    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfgen\canvas.py:412(push_state_stack)
        2    0.000    0.000    0.002    0.001 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfgen\canvas.py:262(__init__)
       97    0.000    0.000    0.007    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\genericpath.py:16(exists)
      344    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\lib\utils.py:93(isUnicode)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       58    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfgen\textobject.py:206(setTextOrigin)
        8    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\paragraph.py:267(_putFragLine)
       30    0.000    0.000    0.003    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\paragraph.py:1835(wrap)
       26    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\html\parser.py:300(parse_starttag)
        1    0.000    0.000    0.007    0.007 I:\##VISHESH##\pp python project\bill_generator_with_changes.py:670(sortbill)
       18    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\paraparser.py:2859(_initial_frag)
       12    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2630(__init__)
       56    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:1254(getSubsetInternalName)
      132    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\weakref.py:415(__getitem__)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
